0.2 0.8 0
-1.57 0.17112
-1.55 0.168522
-1.54 0.167883
-1.52 0.173452
-1.5 0.178638
-1.48 0.178994
-1.47 0.184476
-1.45 0.400325
-1.43 0.598851
-1.41 0.6
-1.4 0.6
-1.38 0.6
-1.36 0.510796
-1.34 0.334029
-1.33 0.417958
-1.31 0.423022
-1.29 0.426464
-1.27 0.456016
-1.26 0.431725
-1.24 0.6
-1.22 0.6
-1.2 0.6
-1.19 0.6
-1.17 0.6
-1.15 0.6
-1.13 0.6
-1.12 0.6
-1.1 0.6
-1.08 0.6
-1.06 0.6
-1.05 0.6
-1.03 0.6
-1.01 0.6
-1 0.6
-0.98 0.6
-0.96 0.6
-0.94 0.6
-0.93 0.6
-0.91 0.6
-0.89 0.576533
-0.87 0.6
-0.86 0.6
-0.84 0.6
-0.82 0.6
-0.8 0.6
-0.79 0.6
-0.77 0.533695
-0.75 0.6
-0.73 0.6
-0.72 0.573474
-0.7 0.6
-0.68 0.589087
-0.66 0.6
-0.65 0.494241
-0.63 0.6
-0.61 0.6
-0.59 0.6
-0.58 0.6
-0.56 0.510796
-0.54 0.6
-0.52 0.494241
-0.51 0.576533
-0.49 0.523281
-0.47 0.550078
-0.45 0.552902
-0.44 0.424736
-0.42 0.468118
-0.4 0.523281
-0.38 0.508367
-0.37 0.510796
-0.35 0.558634
-0.33 0.461992
-0.31 0.379812
-0.3 0.491959
-0.28 0.489697
-0.26 0.437111
-0.25 0.472288
-0.23 0.456016
-0.21 0.457991
-0.19 0.353712
-0.18 0.454056
-0.16 0.456016
-0.14 0.457991
-0.12 0.491959
-0.11 0.444492
-0.09 0.426464
-0.07 0.29402
-0.05 0.378422
-0.04 0.253821
-0.02 0.198485
-0 0.176185
0.02 0.176185
0.03 0.161121
0.05 0.134637
0.07 0.163525
0.09 0.128133
0.1 0.164135
0.12 0.121765
0.14 0.15565
0.16 0.124979
0.17 0.157058
0.19 0.155092
0.21 0.152626
0.23 0.154815
0.24 0.154815
0.26 0.153168
0.28 0.150754
0.3 0.150754
0.31 0.146114
0.33 0.150226
0.35 0.148661
0.37 0.148661
0.38 0.147889
0.4 0.137984
0.42 0.128335
0.44 0.146114
0.45 0.113553
0.47 0.146366
0.49 0.105763
0.51 0.146114
0.52 0.117281
0.54 0.144622
0.56 0.144375
0.57 0.146114
0.59 0.145614
0.61 0.146366
0.63 0.146366
0.64 0.148661
0.66 0.137078
0.68 0.147634
0.7 0.150754
0.71 0.150489
0.73 0.150754
0.75 0.141951
0.77 0.150226
0.78 0.139131
0.8 0.152897
0.82 0.1203
0.84 0.154815
0.85 0.120482
0.87 0.157058
0.89 0.123829
0.91 0.161716
0.92 0.163525
0.94 0.158489
0.96 0.165991
0.98 0.168522
0.99 0.17112
1.01 0.17145
1.03 0.166617
1.05 0.176185
1.06 0.178994
1.08 0.178994
1.1 0.184102
1.12 0.181516
1.13 0.188297
1.15 0.185229
1.17 0.189078
1.19 0.143885
1.2 0.175839
1.22 0.143641
1.24 0.184852
1.26 0.14219
1.27 0.181152
1.29 0.178638
1.31 0.178638
1.32 0.178994
1.34 0.178994
1.36 0.175839
1.38 0.162616
1.39 0.175839
1.41 0.176185
1.43 0.176185
1.45 0.176185
1.46 0.162918
1.48 0.174809
1.5 0.176185
1.52 0.176185
1.53 0.176532
1.55 0.125951
